id;code;descr;category;stock;price
74;SKU-10067;Item 10067 Acessórios - Modelo 68;Acessórios;109;252.39
75;SKU-10068;Item 10068 Armazenamento - Modelo 69;Armazenamento;116;255.86
76;SKU-10069;Item 10069 Energia - Modelo 70;Energia;3;259.33
77;SKU-10070;Item 10070 Periféricos - Modelo 71;Periféricos;10;262.80
78;SKU-10071;Item 10071 Monitores - Modelo 72;Monitores;17;266.27
79;SKU-10072;Item 10072 Áudio - Modelo 73;Áudio;24;269.74
80;SKU-10073;Item 10073 Vídeo - Modelo 74;Vídeo;31;273.21
81;SKU-10074;Item 10074 Computadores - Modelo 75;Computadores;38;276.68
82;SKU-10075;Item 10075 Redes - Modelo 76;Redes;45;280.15
83;SKU-10076;Item 10076 Impressão - Modelo 77;Impressão;52;283.62
84;SKU-10077;Item 10077 Acessórios - Modelo 78;Acessórios;59;287.09
85;SKU-10078;Item 10078 Armazenamento - Modelo 79;Armazenamento;66;290.56
86;SKU-10079;Item 10079 Energia - Modelo 80;Energia;73;294.03
87;SKU-10080;Item 10080 Periféricos - Modelo 81;Periféricos;80;297.50
88;SKU-10081;Item 10081 Monitores - Modelo 82;Monitores;87;300.97
89;SKU-10082;Item 10082 Áudio - Modelo 83;Áudio;94;304.44
90;SKU-10083;Item 10083 Vídeo - Modelo 84;Vídeo;101;307.91
91;SKU-10084;Item 10084 Computadores - Modelo 85;Computadores;108;311.38
92;SKU-10085;Item 10085 Redes - Modelo 86;Redes;115;314.85
93;SKU-10086;Item 10086 Impressão - Modelo 87;Impressão;2;318.32
94;SKU-10087;Item 10087 Acessórios - Modelo 88;Acessórios;9;321.79
95;SKU-10088;Item 10088 Armazenamento - Modelo 89;Armazenamento;16;325.26
96;SKU-10089;Item 10089 Energia - Modelo 90;Energia;23;328.73
97;SKU-10090;Item 10090 Periféricos - Modelo 91;Periféricos;30;332.20
98;SKU-10091;Item 10091 Monitores - Modelo 92;Monitores;37;335.67
99;SKU-10092;Item 10092 Áudio - Modelo 93;Áudio;44;339.14
100;SKU-10093;Item 10093 Vídeo - Modelo 94;Vídeo;51;342.61
101;SKU-10094;Item 10094 Computadores - Modelo 95;Computadores;58;346.08
102;SKU-10095;Item 10095 Redes - Modelo 96;Redes;65;349.55
103;SKU-10096;Item 10096 Impressão - Modelo 97;Impressão;72;353.02
104;SKU-10097;Item 10097 Acessórios - Modelo 98;Acessórios;79;356.49
105;SKU-10098;Item 10098 Armazenamento - Modelo 99;Armazenamento;86;359.96
106;SKU-10099;Item 10099 Energia - Modelo 100;Energia;93;363.43
107;SKU-10100;Item 10100 Periféricos - Modelo 1;Periféricos;100;366.90
108;SKU-10101;Item 10101 Monitores - Modelo 2;Monitores;107;370.37
109;SKU-10102;Item 10102 Áudio - Modelo 3;Áudio;114;373.84
110;SKU-10103;Item 10103 Vídeo - Modelo 4;Vídeo;1;377.31
111;SKU-10104;Item 10104 Computadores - Modelo 5;Computadores;8;380.78
112;SKU-10105;Item 10105 Redes - Modelo 6;Redes;15;384.25
113;SKU-10106;Item 10106 Impressão - Modelo 7;Impressão;22;387.72
114;SKU-10107;Item 10107 Acessórios - Modelo 8;Acessórios;29;391.19
115;SKU-10108;Item 10108 Armazenamento - Modelo 9;Armazenamento;36;394.66
116;SKU-10109;Item 10109 Energia - Modelo 10;Energia;43;398.13
117;SKU-10110;Item 10110 Periféricos - Modelo 11;Periféricos;50;401.60
118;SKU-10111;Item 10111 Monitores - Modelo 12;Monitores;57;405.07
119;SKU-10112;Item 10112 Áudio - Modelo 13;Áudio;64;408.54
120;SKU-10113;Item 10113 Vídeo - Modelo 14;Vídeo;71;412.01
121;SKU-10114;Item 10114 Computadores - Modelo 15;Computadores;78;415.48
122;SKU-10115;Item 10115 Redes - Modelo 16;Redes;85;418.95
123;SKU-10116;Item 10116 Impressão - Modelo 17;Impressão;92;422.42
124;SKU-10117;Item 10117 Acessórios - Modelo 18;Acessórios;99;425.89
125;SKU-10118;Item 10118 Armazenamento - Modelo 19;Armazenamento;106;429.36
126;SKU-10119;Item 10119 Energia - Modelo 20;Energia;113;432.83
127;SKU-10120;Item 10120 Periféricos - Modelo 21;Periféricos;0;436.30
128;SKU-10121;Item 10121 Monitores - Modelo 22;Monitores;7;439.77
129;SKU-10122;Item 10122 Áudio - Modelo 23;Áudio;14;443.24
130;SKU-10123;Item 10123 Vídeo - Modelo 24;Vídeo;21;446.71
131;SKU-10124;Item 10124 Computadores - Modelo 25;Computadores;28;450.18
132;SKU-10125;Item 10125 Redes - Modelo 26;Redes;35;453.65
133;SKU-10126;Item 10126 Impressão - Modelo 27;Impressão;42;457.12
134;SKU-10127;Item 10127 Acessórios - Modelo 28;Acessórios;49;460.59
135;SKU-10128;Item 10128 Armazenamento - Modelo 29;Armazenamento;56;464.06
136;SKU-10129;Item 10129 Energia - Modelo 30;Energia;63;467.53
137;SKU-10130;Item 10130 Periféricos - Modelo 31;Periféricos;70;471.00
138;SKU-10131;Item 10131 Monitores - Modelo 32;Monitores;77;474.47
139;SKU-10132;Item 10132 Áudio - Modelo 33;Áudio;84;477.94
140;SKU-10133;Item 10133 Vídeo - Modelo 34;Vídeo;91;481.41
141;SKU-10134;Item 10134 Computadores - Modelo 35;Computadores;98;484.88
142;SKU-10135;Item 10135 Redes - Modelo 36;Redes;105;488.35
143;SKU-10136;Item 10136 Impressão - Modelo 37;Impressão;112;491.82
144;SKU-10137;Item 10137 Acessórios - Modelo 38;Acessórios;119;495.29
145;SKU-10138;Item 10138 Armazenamento - Modelo 39;Armazenamento;6;498.76
146;SKU-10139;Item 10139 Energia - Modelo 40;Energia;13;502.23
147;SKU-10140;Item 10140 Periféricos - Modelo 41;Periféricos;20;505.70
148;SKU-10141;Item 10141 Monitores - Modelo 42;Monitores;27;509.17
149;SKU-10142;Item 10142 Áudio - Modelo 43;Áudio;34;512.64
150;SKU-10143;Item 10143 Vídeo - Modelo 44;Vídeo;41;516.11
151;SKU-10144;Item 10144 Computadores - Modelo 45;Computadores;48;519.58
152;SKU-10145;Item 10145 Redes - Modelo 46;Redes;55;523.05
153;SKU-10146;Item 10146 Impressão - Modelo 47;Impressão;62;526.52
154;SKU-10147;Item 10147 Acessórios - Modelo 48;Acessórios;69;529.99
155;SKU-10148;Item 10148 Armazenamento - Modelo 49;Armazenamento;76;533.46
156;SKU-10149;Item 10149 Energia - Modelo 50;Energia;83;536.93
157;SKU-10150;Item 10150 Periféricos - Modelo 51;Periféricos;90;540.40
158;SKU-10151;Item 10151 Monitores - Modelo 52;Monitores;97;543.87
159;SKU-10152;Item 10152 Áudio - Modelo 53;Áudio;104;547.34
160;SKU-10153;Item 10153 Vídeo - Modelo 54;Vídeo;111;550.81
161;SKU-10154;Item 10154 Computadores - Modelo 55;Computadores;118;554.28
162;SKU-10155;Item 10155 Redes - Modelo 56;Redes;5;557.75
163;SKU-10156;Item 10156 Impressão - Modelo 57;Impressão;12;561.22
164;SKU-10157;Item 10157 Acessórios - Modelo 58;Acessórios;19;564.69
165;SKU-10158;Item 10158 Armazenamento - Modelo 59;Armazenamento;26;568.16
166;SKU-10159;Item 10159 Energia - Modelo 60;Energia;33;571.63
167;SKU-10160;Item 10160 Periféricos - Modelo 61;Periféricos;40;575.10
168;SKU-10161;Item 10161 Monitores - Modelo 62;Monitores;47;578.57
169;SKU-10162;Item 10162 Áudio - Modelo 63;Áudio;54;582.04
170;SKU-10163;Item 10163 Vídeo - Modelo 64;Vídeo;61;585.51
171;SKU-10164;Item 10164 Computadores - Modelo 65;Computadores;68;588.98
172;SKU-10165;Item 10165 Redes - Modelo 66;Redes;75;592.45
173;SKU-10166;Item 10166 Impressão - Modelo 67;Impressão;82;595.92
174;SKU-10167;Item 10167 Acessórios - Modelo 68;Acessórios;89;599.39
175;SKU-10168;Item 10168 Armazenamento - Modelo 69;Armazenamento;96;602.86
176;SKU-10169;Item 10169 Energia - Modelo 70;Energia;103;606.33
177;SKU-10170;Item 10170 Periféricos - Modelo 71;Periféricos;110;609.80
178;SKU-10171;Item 10171 Monitores - Modelo 72;Monitores;117;613.27
179;SKU-10172;Item 10172 Áudio - Modelo 73;Áudio;4;616.74
180;SKU-10173;Item 10173 Vídeo - Modelo 74;Vídeo;11;620.21
181;SKU-10174;Item 10174 Computadores - Modelo 75;Computadores;18;623.68
182;SKU-10175;Item 10175 Redes - Modelo 76;Redes;25;627.15
183;SKU-10176;Item 10176 Impressão - Modelo 77;Impressão;32;630.62
184;SKU-10177;Item 10177 Acessórios - Modelo 78;Acessórios;39;634.09
185;SKU-10178;Item 10178 Armazenamento - Modelo 79;Armazenamento;46;637.56
186;SKU-10179;Item 10179 Energia - Modelo 80;Energia;53;641.03
187;SKU-10180;Item 10180 Periféricos - Modelo 81;Periféricos;60;644.50
188;SKU-10181;Item 10181 Monitores - Modelo 82;Monitores;67;647.97
189;SKU-10182;Item 10182 Áudio - Modelo 83;Áudio;74;651.44
190;SKU-10183;Item 10183 Vídeo - Modelo 84;Vídeo;81;654.91
191;SKU-10184;Item 10184 Computadores - Modelo 85;Computadores;88;658.38
192;SKU-10185;Item 10185 Redes - Modelo 86;Redes;95;661.85
193;SKU-10186;Item 10186 Impressão - Modelo 87;Impressão;102;665.32
194;SKU-10187;Item 10187 Acessórios - Modelo 88;Acessórios;109;668.79
195;SKU-10188;Item 10188 Armazenamento - Modelo 89;Armazenamento;116;672.26
196;SKU-10189;Item 10189 Energia - Modelo 90;Energia;3;675.73
197;SKU-10190;Item 10190 Periféricos - Modelo 91;Periféricos;10;679.20
198;SKU-10191;Item 10191 Monitores - Modelo 92;Monitores;17;682.67
199;SKU-10192;Item 10192 Áudio - Modelo 93;Áudio;24;686.14
200;SKU-10193;Item 10193 Vídeo - Modelo 94;Vídeo;31;689.61
201;SKU-10194;Item 10194 Computadores - Modelo 95;Computadores;38;693.08
202;SKU-10195;Item 10195 Redes - Modelo 96;Redes;45;696.55
203;SKU-10196;Item 10196 Impressão - Modelo 97;Impressão;52;700.02
204;SKU-10197;Item 10197 Acessórios - Modelo 98;Acessórios;59;703.49
205;SKU-10198;Item 10198 Armazenamento - Modelo 99;Armazenamento;66;706.96
206;SKU-10199;Item 10199 Energia - Modelo 100;Energia;73;710.43
207;SKU-10200;Item 10200 Periféricos - Modelo 1;Periféricos;80;713.90
208;SKU-10201;Item 10201 Monitores - Modelo 2;Monitores;87;717.37
209;SKU-10202;Item 10202 Áudio - Modelo 3;Áudio;94;720.84
210;SKU-10203;Item 10203 Vídeo - Modelo 4;Vídeo;101;724.31
211;SKU-10204;Item 10204 Computadores - Modelo 5;Computadores;108;727.78
212;SKU-10205;Item 10205 Redes - Modelo 6;Redes;115;731.25
213;SKU-10206;Item 10206 Impressão - Modelo 7;Impressão;2;734.72
214;SKU-10207;Item 10207 Acessórios - Modelo 8;Acessórios;9;738.19
215;SKU-10208;Item 10208 Armazenamento - Modelo 9;Armazenamento;16;741.66
216;SKU-10209;Item 10209 Energia - Modelo 10;Energia;23;745.13
217;SKU-10210;Item 10210 Periféricos - Modelo 11;Periféricos;30;748.60
218;SKU-10211;Item 10211 Monitores - Modelo 12;Monitores;37;752.07
219;SKU-10212;Item 10212 Áudio - Modelo 13;Áudio;44;755.54
220;SKU-10213;Item 10213 Vídeo - Modelo 14;Vídeo;51;759.01
221;SKU-10214;Item 10214 Computadores - Modelo 15;Computadores;58;762.48
222;SKU-10215;Item 10215 Redes - Modelo 16;Redes;65;765.95
223;SKU-10216;Item 10216 Impressão - Modelo 17;Impressão;72;769.42
224;SKU-10217;Item 10217 Acessórios - Modelo 18;Acessórios;79;772.89
225;SKU-10218;Item 10218 Armazenamento - Modelo 19;Armazenamento;86;776.36
226;SKU-10219;Item 10219 Energia - Modelo 20;Energia;93;779.83
227;SKU-10220;Item 10220 Periféricos - Modelo 21;Periféricos;100;783.30
228;SKU-10221;Item 10221 Monitores - Modelo 22;Monitores;107;786.77
229;SKU-10222;Item 10222 Áudio - Modelo 23;Áudio;114;790.24
230;SKU-10223;Item 10223 Vídeo - Modelo 24;Vídeo;1;793.71
231;SKU-10224;Item 10224 Computadores - Modelo 25;Computadores;8;797.18
232;SKU-10225;Item 10225 Redes - Modelo 26;Redes;15;800.65
233;SKU-10226;Item 10226 Impressão - Modelo 27;Impressão;22;804.12
234;SKU-10227;Item 10227 Acessórios - Modelo 28;Acessórios;29;807.59
235;SKU-10228;Item 10228 Armazenamento - Modelo 29;Armazenamento;36;811.06
236;SKU-10229;Item 10229 Energia - Modelo 30;Energia;43;814.53
237;SKU-10230;Item 10230 Periféricos - Modelo 31;Periféricos;50;818.00
238;SKU-10231;Item 10231 Monitores - Modelo 32;Monitores;57;821.47
239;SKU-10232;Item 10232 Áudio - Modelo 33;Áudio;64;824.94
240;SKU-10233;Item 10233 Vídeo - Modelo 34;Vídeo;71;828.41
241;SKU-10234;Item 10234 Computadores - Modelo 35;Computadores;78;831.88
242;SKU-10235;Item 10235 Redes - Modelo 36;Redes;85;835.35
243;SKU-10236;Item 10236 Impressão - Modelo 37;Impressão;92;838.82
244;SKU-10237;Item 10237 Acessórios - Modelo 38;Acessórios;99;842.29
245;SKU-10238;Item 10238 Armazenamento - Modelo 39;Armazenamento;106;845.76
246;SKU-10239;Item 10239 Energia - Modelo 40;Energia;113;849.23
247;SKU-10240;Item 10240 Periféricos - Modelo 41;Periféricos;0;852.70
248;SKU-10241;Item 10241 Monitores - Modelo 42;Monitores;7;856.17
249;SKU-10242;Item 10242 Áudio - Modelo 43;Áudio;14;859.64
250;SKU-10243;Item 10243 Vídeo - Modelo 44;Vídeo;21;863.11
251;SKU-10244;Item 10244 Computadores - Modelo 45;Computadores;28;866.58
252;SKU-10245;Item 10245 Redes - Modelo 46;Redes;35;870.05
253;SKU-10246;Item 10246 Impressão - Modelo 47;Impressão;42;873.52
254;SKU-10247;Item 10247 Acessórios - Modelo 48;Acessórios;49;876.99
255;SKU-10248;Item 10248 Armazenamento - Modelo 49;Armazenamento;56;880.46
256;SKU-10249;Item 10249 Energia - Modelo 50;Energia;63;883.93
257;SKU-10250;Item 10250 Periféricos - Modelo 51;Periféricos;70;887.40
258;SKU-10251;Item 10251 Monitores - Modelo 52;Monitores;77;890.87
259;SKU-10252;Item 10252 Áudio - Modelo 53;Áudio;84;894.34
260;SKU-10253;Item 10253 Vídeo - Modelo 54;Vídeo;91;897.81
261;SKU-10254;Item 10254 Computadores - Modelo 55;Computadores;98;901.28
262;SKU-10255;Item 10255 Redes - Modelo 56;Redes;105;904.75
263;SKU-10256;Item 10256 Impressão - Modelo 57;Impressão;112;908.22
264;SKU-10257;Item 10257 Acessórios - Modelo 58;Acessórios;119;911.69
265;SKU-10258;Item 10258 Armazenamento - Modelo 59;Armazenamento;6;915.16
266;SKU-10259;Item 10259 Energia - Modelo 60;Energia;13;918.63
267;SKU-10260;Item 10260 Periféricos - Modelo 61;Periféricos;20;922.10
268;SKU-10261;Item 10261 Monitores - Modelo 62;Monitores;27;925.57
269;SKU-10262;Item 10262 Áudio - Modelo 63;Áudio;34;929.04
270;SKU-10263;Item 10263 Vídeo - Modelo 64;Vídeo;41;932.51
271;SKU-10264;Item 10264 Computadores - Modelo 65;Computadores;48;935.98
272;SKU-10265;Item 10265 Redes - Modelo 66;Redes;55;939.45
273;SKU-10266;Item 10266 Impressão - Modelo 67;Impressão;62;942.92
274;SKU-10267;Item 10267 Acessórios - Modelo 68;Acessórios;69;946.39
275;SKU-10268;Item 10268 Armazenamento - Modelo 69;Armazenamento;76;949.86
276;SKU-10269;Item 10269 Energia - Modelo 70;Energia;83;953.33
277;SKU-10270;Item 10270 Periféricos - Modelo 71;Periféricos;90;956.80
278;SKU-10271;Item 10271 Monitores - Modelo 72;Monitores;97;960.27
279;SKU-10272;Item 10272 Áudio - Modelo 73;Áudio;104;963.74
280;SKU-10273;Item 10273 Vídeo - Modelo 74;Vídeo;111;967.21
281;SKU-10274;Item 10274 Computadores - Modelo 75;Computadores;118;970.68
282;SKU-10275;Item 10275 Redes - Modelo 76;Redes;5;974.15
283;SKU-10276;Item 10276 Impressão - Modelo 77;Impressão;12;977.62
284;SKU-10277;Item 10277 Acessórios - Modelo 78;Acessórios;19;981.09
285;SKU-10278;Item 10278 Armazenamento - Modelo 79;Armazenamento;26;984.56
286;SKU-10279;Item 10279 Energia - Modelo 80;Energia;33;988.03
287;SKU-10280;Item 10280 Periféricos - Modelo 81;Periféricos;40;991.50
288;SKU-10281;Item 10281 Monitores - Modelo 82;Monitores;47;994.97
289;SKU-10282;Item 10282 Áudio - Modelo 83;Áudio;54;998.44
290;SKU-10283;Item 10283 Vídeo - Modelo 84;Vídeo;61;1001.91
291;SKU-10284;Item 10284 Computadores - Modelo 85;Computadores;68;1005.38
292;SKU-10285;Item 10285 Redes - Modelo 86;Redes;75;1008.85
293;SKU-10286;Item 10286 Impressão - Modelo 87;Impressão;82;1012.32
294;SKU-10287;Item 10287 Acessórios - Modelo 88;Acessórios;89;1015.79
295;SKU-10288;Item 10288 Armazenamento - Modelo 89;Armazenamento;96;1019.26
296;SKU-10289;Item 10289 Energia - Modelo 90;Energia;103;1022.73
297;SKU-10290;Item 10290 Periféricos - Modelo 91;Periféricos;110;1026.20
298;SKU-10291;Item 10291 Monitores - Modelo 92;Monitores;117;1029.67
299;SKU-10292;Item 10292 Áudio - Modelo 93;Áudio;4;1033.14
300;SKU-10293;Item 10293 Vídeo - Modelo 94;Vídeo;11;1036.61
301;SKU-10294;Item 10294 Computadores - Modelo 95;Computadores;18;1040.08
302;SKU-10295;Item 10295 Redes - Modelo 96;Redes;25;1043.55
303;SKU-10296;Item 10296 Impressão - Modelo 97;Impressão;32;1047.02
304;SKU-10297;Item 10297 Acessórios - Modelo 98;Acessórios;39;1050.49
305;SKU-10298;Item 10298 Armazenamento - Modelo 99;Armazenamento;46;1053.96
306;SKU-10299;Item 10299 Energia - Modelo 100;Energia;53;1057.43
307;SKU-10300;Item 10300 Periféricos - Modelo 1;Periféricos;60;1060.90
308;SKU-10301;Item 10301 Monitores - Modelo 2;Monitores;67;1064.37
309;SKU-10302;Item 10302 Áudio - Modelo 3;Áudio;74;1067.84
310;SKU-10303;Item 10303 Vídeo - Modelo 4;Vídeo;81;1071.31
311;SKU-10304;Item 10304 Computadores - Modelo 5;Computadores;88;1074.78
312;SKU-10305;Item 10305 Redes - Modelo 6;Redes;95;1078.25
313;SKU-10306;Item 10306 Impressão - Modelo 7;Impressão;102;1081.72
314;SKU-10307;Item 10307 Acessórios - Modelo 8;Acessórios;109;1085.19
315;SKU-10308;Item 10308 Armazenamento - Modelo 9;Armazenamento;116;1088.66
316;SKU-10309;Item 10309 Energia - Modelo 10;Energia;3;1092.13
317;SKU-10310;Item 10310 Periféricos - Modelo 11;Periféricos;10;1095.60
318;SKU-10311;Item 10311 Monitores - Modelo 12;Monitores;17;1099.07
319;SKU-10312;Item 10312 Áudio - Modelo 13;Áudio;24;1102.54
320;SKU-10313;Item 10313 Vídeo - Modelo 14;Vídeo;31;1106.01
321;SKU-10314;Item 10314 Computadores - Modelo 15;Computadores;38;1109.48
322;SKU-10315;Item 10315 Redes - Modelo 16;Redes;45;1112.95
323;SKU-10316;Item 10316 Impressão - Modelo 17;Impressão;52;1116.42
324;SKU-10317;Item 10317 Acessórios - Modelo 18;Acessórios;59;1119.89
325;SKU-10318;Item 10318 Armazenamento - Modelo 19;Armazenamento;66;1123.36
326;SKU-10319;Item 10319 Energia - Modelo 20;Energia;73;1126.83
327;SKU-10320;Item 10320 Periféricos - Modelo 21;Periféricos;80;1130.30
328;SKU-10321;Item 10321 Monitores - Modelo 22;Monitores;87;1133.77
329;SKU-10322;Item 10322 Áudio - Modelo 23;Áudio;94;1137.24
330;SKU-10323;Item 10323 Vídeo - Modelo 24;Vídeo;101;1140.71
331;SKU-10324;Item 10324 Computadores - Modelo 25;Computadores;108;1144.18
332;SKU-10325;Item 10325 Redes - Modelo 26;Redes;115;1147.65
333;SKU-10326;Item 10326 Impressão - Modelo 27;Impressão;2;1151.12
334;SKU-10327;Item 10327 Acessórios - Modelo 28;Acessórios;9;1154.59
335;SKU-10328;Item 10328 Armazenamento - Modelo 29;Armazenamento;16;1158.06
336;SKU-10329;Item 10329 Energia - Modelo 30;Energia;23;1161.53
337;SKU-10330;Item 10330 Periféricos - Modelo 31;Periféricos;30;1165.00
338;SKU-10331;Item 10331 Monitores - Modelo 32;Monitores;37;1168.47
339;SKU-10332;Item 10332 Áudio - Modelo 33;Áudio;44;1171.94
340;SKU-10333;Item 10333 Vídeo - Modelo 34;Vídeo;51;1175.41
341;SKU-10334;Item 10334 Computadores - Modelo 35;Computadores;58;1178.88
342;SKU-10335;Item 10335 Redes - Modelo 36;Redes;65;1182.35
343;SKU-10336;Item 10336 Impressão - Modelo 37;Impressão;72;1185.82
344;SKU-10337;Item 10337 Acessórios - Modelo 38;Acessórios;79;1189.29
345;SKU-10338;Item 10338 Armazenamento - Modelo 39;Armazenamento;86;1192.76
346;SKU-10339;Item 10339 Energia - Modelo 40;Energia;93;1196.23
347;SKU-10340;Item 10340 Periféricos - Modelo 41;Periféricos;100;1199.70
348;SKU-10341;Item 10341 Monitores - Modelo 42;Monitores;107;1203.17
349;SKU-10342;Item 10342 Áudio - Modelo 43;Áudio;114;1206.64
350;SKU-10343;Item 10343 Vídeo - Modelo 44;Vídeo;1;1210.11
351;SKU-10344;Item 10344 Computadores - Modelo 45;Computadores;8;1213.58
352;SKU-10345;Item 10345 Redes - Modelo 46;Redes;15;1217.05
353;SKU-10346;Item 10346 Impressão - Modelo 47;Impressão;22;1220.52
354;SKU-10347;Item 10347 Acessórios - Modelo 48;Acessórios;29;1223.99
355;SKU-10348;Item 10348 Armazenamento - Modelo 49;Armazenamento;36;1227.46
356;SKU-10349;Item 10349 Energia - Modelo 50;Energia;43;1230.93
357;SKU-10350;Item 10350 Periféricos - Modelo 51;Periféricos;50;1234.40
358;SKU-10351;Item 10351 Monitores - Modelo 52;Monitores;57;1237.87
359;SKU-10352;Item 10352 Áudio - Modelo 53;Áudio;64;1241.34
360;SKU-10353;Item 10353 Vídeo - Modelo 54;Vídeo;71;1244.81
361;SKU-10354;Item 10354 Computadores - Modelo 55;Computadores;78;1248.28
